provider        model                                             context  max-out  thinking  images
openai          gpt-5.1-codex-mini                                400K     128K     yes       yes   
openai          gpt-5.2                                           400K     128K     yes       yes   
openai          gpt-5.2-chat-latest                               128K     16.4K    yes       yes   
openai          gpt-5.2-codex                                     400K     128K     yes       yes   
openai          gpt-5.2-pro                                       400K     128K     yes       yes   
openai          gpt-5.4                                           400K     128K     yes       yes   
openai          gpt-5.5                                           1M       128K     yes       yes   
openai          gpt-5.6                                           1.1M     128K     yes       yes   
openai          gpt-5.6-luna                                      1.1M     128K     yes       yes   
openai          gpt-5.6-sol                                       1.1M     128K     yes       yes   
openai          gpt-5.6-terra                                     1.1M     128K     yes       yes   
openai          o1                                                200K     100K     yes       yes   
openai          o1-pro                                            200K     100K     yes       yes   
openai          o3                                                200K     100K     yes       yes   
openai          o3-deep-research                                  200K     100K     yes       yes   
openai          o3-mini                                           200K     100K     yes       no    
openai          o3-pro                                            200K     100K     yes       yes   
openai          o4-mini                                           200K     100K     yes       yes   
openai          o4-mini-deep-research                             200K     100K     yes       yes   
openai-codex    gpt-5.1                                           272K     128K     yes       yes   
openai-codex    gpt-5.1-codex-max                                 272K     128K     yes       yes   
openai-codex    gpt-5.1-codex-mini                                272K     128K     yes       yes   
openai-codex    gpt-5.2                                           272K     128K     yes       yes   
openai-codex    gpt-5.2-codex                                     272K     128K     yes       yes   
openai-codex    gpt-5.3-codex                                     272K     128K     yes       yes   
openai-codex    gpt-5.3-codex-spark                               272K     128K     yes       yes   
openai-codex    gpt-5.4                                           272K     128K     yes       yes   
openai-codex    gpt-5.5                                           1M       128K     yes       yes   
openai-codex    gpt-5.6-luna                                      1.1M     128K     yes       yes   
openai-codex    gpt-5.6-sol                                       1.1M     128K     yes       yes   
openai-codex    gpt-5.6-terra                                     1.1M     128K     yes       yes   
sap-ai-core     anthropic--claude-3-haiku                         128K     16.4K    no        no    
sap-ai-core     anthropic--claude-3-opus                          128K     16.4K    no        no    
sap-ai-core     anthropic--claude-3-sonnet                        128K     16.4K    no        no    
sap-ai-core     anthropic--claude-3.5-sonnet                      128K     16.4K    yes       no    
sap-ai-core     anthropic--claude-3.7-sonnet                      128K     16.4K    yes       no    
sap-ai-core     anthropic--claude-4-opus                          128K     16.4K    yes       no    
sap-ai-core     anthropic--claude-4-sonnet                        128K     16.4K    yes       no    
sap-ai-core     anthropic--claude-4.5-haiku                       128K     16.4K    yes       no    
sap-ai-core     anthropic--claude-4.5-opus                        128K     16.4K    yes       no    
sap-ai-core     anthropic--claude-4.5-sonnet                      128K     16.4K    yes       no    
sap-ai-core     gemini-2.5-flash                                  128K     16.4K    yes       no    
sap-ai-core     gemini-2.5-pro                                    128K     16.4K    yes       no    
sap-ai-core     gpt-5                                             128K     16.4K    yes       no    
sap-ai-core     gpt-5-mini                                        128K     16.4K    yes       no    
sap-ai-core     gpt-5-nano                                        128K     16.4K    yes       no    
Showing 7 of 102 providers. Run `pi --list-providers` to see all.
